tiempo,frontal_der,frontal_izq,diagonal_der,diagonal_izq,lateral_der,lateral_izq,trasero_der,trasero_izq,encoder_izq,encoder_der
0.032,63.66,69.98,69.73,71.49,63.76,66.77,68.32,61.33,0.0000,0.0000
0.064,67.79,67.07,68.71,69.97,71.73,70.24,70.27,65.12,0.0942,0.0942
0.096,69.65,65.05,66.60,65.80,62.72,69.75,66.82,67.92,0.1947,0.1947
0.128,62.82,70.81,67.04,68.08,64.97,63.39,67.43,64.48,0.2889,0.2889
0.160,72.76,64.94,68.85,74.83,63.73,64.21,66.48,66.53,0.3831,0.3831
0.192,66.84,59.89,60.78,71.10,57.40,69.27,68.63,58.90,0.4773,0.4773
0.224,67.06,64.99,72.76,67.55,71.89,67.64,65.89,61.55,0.5778,0.5778
0.256,71.16,72.53,66.83,64.85,67.13,54.67,66.33,65.57,0.6720,0.6720
0.288,70.14,68.79,69.07,71.60,61.35,64.64,69.83,65.33,0.7662,0.7662
0.320,63.28,63.75,63.42,68.15,74.12,70.78,68.46,66.61,0.8604,0.8604
0.352,68.10,66.56,69.42,66.45,69.68,65.62,65.88,73.49,0.9608,0.9608
0.384,68.16,73.45,66.61,67.11,60.34,67.00,64.82,67.73,1.0550,1.0550
0.416,66.62,68.49,68.68,67.58,62.18,72.36,61.46,67.88,1.1492,1.1492
0.448,69.81,69.76,65.17,70.73,66.02,70.97,71.24,65.37,1.2497,1.2497
0.480,67.51,65.36,67.67,71.32,69.30,68.28,62.07,66.31,1.3439,1.3439
0.512,72.06,63.58,73.66,67.63,67.12,62.73,63.06,63.23,1.4381,1.4381
0.544,61.21,67.35,66.11,70.84,69.33,69.81,67.38,65.99,1.5323,1.5323
0.576,62.10,67.01,67.03,67.90,63.98,69.31,62.78,67.21,1.6328,1.6328
0.608,67.69,64.66,68.85,66.11,67.94,66.03,68.93,60.30,1.7270,1.7270
0.640,63.68,70.42,66.65,66.86,65.77,69.96,69.24,65.76,1.8212,1.8212
0.672,67.99,65.16,72.49,64.40,62.88,57.99,62.22,69.93,1.9154,1.9154
0.704,67.52,68.81,63.62,65.90,68.00,66.48,67.17,66.72,2.0159,2.0159
0.736,63.59,71.37,70.76,66.86,62.48,70.07,67.76,65.91,2.1101,2.1101
0.768,70.30,59.78,68.11,63.19,72.25,63.79,68.84,67.59,2.2043,2.2043
0.800,61.14,67.01,71.63,71.64,66.47,64.54,73.18,66.33,2.3048,2.3048
0.832,61.60,71.00,66.83,67.28,70.12,69.85,64.93,64.93,2.3990,2.3990
0.864,71.00,64.19,66.98,64.52,69.05,68.79,66.13,65.18,2.4932,2.4932
0.896,66.05,61.03,69.52,68.43,64.08,64.00,67.38,66.59,2.5874,2.5874
0.928,68.19,77.66,62.74,72.37,64.71,69.33,64.83,66.60,2.6878,2.6878
0.960,67.39,71.83,69.15,72.14,68.03,75.06,73.28,66.30,2.7820,2.7820
0.992,70.06,67.69,68.46,67.63,68.11,65.85,69.47,64.82,2.8762,2.8762
1.024,68.27,71.62,63.98,65.41,64.98,60.44,69.80,68.53,2.9767,2.9767
1.056,61.08,62.70,64.82,71.23,68.83,70.53,67.67,70.51,3.0709,3.0709
1.088,67.84,70.90,64.96,72.42,66.54,65.15,65.63,66.26,3.1651,3.1651
1.120,66.71,68.11,69.58,81.28,68.46,63.89,69.18,72.07,3.2593,3.2593
1.152,63.93,72.80,67.55,88.82,65.59,57.56,70.75,65.12,3.3598,3.3598
1.184,68.88,62.98,67.97,95.01,59.92,61.94,70.44,67.74,3.4540,3.4540
1.216,64.86,68.42,64.38,98.77,73.34,62.84,66.58,71.63,3.5482,3.5482
1.248,69.43,67.71,64.22,103.66,62.06,75.59,65.25,67.81,3.6424,3.6424
1.280,67.13,67.77,69.09,114.38,64.70,62.99,62.68,69.47,3.7429,3.7429
1.312,60.62,61.12,66.95,111.52,59.57,76.04,69.19,62.03,3.8371,3.8371
1.344,64.77,66.51,65.54,114.40,69.66,64.48,72.69,66.17,3.9313,3.9313
1.376,70.29,68.58,68.81,113.44,69.93,69.74,67.35,67.29,4.0318,4.0318
1.408,65.15,70.82,66.65,120.50,66.79,69.94,67.94,62.09,4.1260,4.1260
1.440,68.35,67.05,68.66,123.32,58.75,56.09,63.26,65.33,4.2202,4.2202
1.472,68.63,66.73,66.80,130.20,67.80,66.71,67.25,67.18,4.3144,4.3144
1.504,65.14,64.69,68.09,124.21,67.19,66.59,62.23,69.19,4.4148,4.4148
1.536,62.49,66.95,67.82,141.25,69.41,63.90,69.82,67.18,4.5090,4.5090
1.568,65.99,70.22,60.02,150.41,64.69,68.81,70.96,69.35,4.6032,4.6032
1.600,67.61,66.01,68.89,149.34,76.03,64.03,65.34,64.83,4.6974,4.6974
1.632,71.37,65.08,70.46,162.96,64.84,69.04,68.31,72.37,4.7979,4.7979
1.664,61.15,63.08,70.03,169.15,67.08,71.64,70.57,68.87,4.8921,4.8921
1.696,70.21,67.11,69.22,188.17,61.74,70.66,56.30,67.02,4.9863,4.9863
1.728,69.14,71.52,67.94,184.67,67.89,68.12,63.57,65.90,5.0868,5.0868
1.760,60.90,67.04,62.42,202.70,64.31,63.22,66.08,69.54,5.1810,5.1810
1.792,72.45,62.88,63.65,221.07,69.88,67.11,70.08,70.58,5.2752,5.2752
1.824,68.74,65.57,70.76,227.80,63.95,91.60,80.23,66.26,5.3694,5.3694
1.856,60.29,66.63,65.24,241.35,66.92,100.20,69.60,66.80,5.4699,5.4699
1.888,75.43,71.96,70.95,274.38,62.29,111.95,69.03,71.59,5.5641,5.5641
1.920,60.27,71.34,64.94,290.58,68.20,108.75,65.53,64.64,5.6583,5.6583
1.952,61.89,74.62,66.83,315.67,66.74,114.60,65.00,68.36,5.7525,5.7525
1.984,70.77,72.24,61.35,352.25,66.75,124.84,72.98,70.88,5.8530,5.8530
2.016,60.78,69.71,61.83,362.00,73.23,115.37,64.87,65.08,5.9472,5.9472
2.048,67.38,60.85,65.40,388.38,67.36,128.81,66.49,66.95,6.0414,6.0414
2.080,66.70,69.96,69.03,480.27,70.15,141.82,72.25,68.89,6.1418,6.1418
2.112,67.84,68.18,71.77,70.93,66.08,165.02,61.67,69.81,6.2172,6.0916
2.144,70.51,75.63,68.97,66.53,71.64,167.84,66.70,68.18,6.3177,6.1858
2.176,66.09,66.80,65.96,68.07,69.95,179.28,69.44,64.83,6.4119,6.2800
2.208,66.72,70.03,70.44,70.63,71.96,203.87,68.50,65.13,6.5061,6.3805
2.240,63.35,74.72,67.99,63.58,62.42,216.17,69.60,61.30,6.6003,6.4747
2.272,60.36,69.10,68.28,66.47,65.43,240.29,66.09,68.73,6.7008,6.5689
2.304,68.36,71.53,66.31,58.09,72.62,270.36,67.48,65.69,6.7950,6.6694
2.336,68.73,62.58,73.35,61.84,71.50,296.93,67.11,62.85,6.8892,6.7636
2.368,68.56,71.31,58.56,64.59,65.86,324.97,64.54,73.11,6.9896,6.8578
2.400,65.26,68.44,65.91,72.64,63.23,357.23,67.35,71.25,7.0838,6.9520
2.432,64.81,64.71,70.98,61.22,64.49,398.42,68.20,68.09,7.1780,7.0524
2.464,69.04,65.31,64.44,66.78,63.05,486.99,66.69,68.33,7.2722,7.1466
2.496,67.77,66.16,64.19,67.62,69.21,557.99,67.16,65.76,7.3727,7.2408
2.528,65.48,70.79,67.13,66.42,64.42,908.04,64.74,66.09,7.4669,7.3413
2.560,70.60,65.60,71.69,62.53,66.89,1339.38,69.15,67.10,7.5611,7.4041
2.592,64.23,71.12,60.94,68.95,67.53,1623.02,64.87,64.02,7.6553,7.4669
2.624,59.83,69.14,65.22,66.07,68.66,1828.24,65.67,66.47,7.7558,7.5297
2.656,65.78,71.93,67.63,68.68,71.74,1435.47,66.50,68.81,7.8500,7.5925
2.688,69.29,70.30,67.83,66.12,61.11,949.77,70.53,61.79,7.9442,7.6553
2.720,67.94,69.75,63.87,66.38,63.90,534.72,60.21,67.63,8.0447,7.7244
2.752,62.88,70.98,63.76,63.29,64.45,410.67,68.48,72.43,8.1389,7.8186
2.784,63.31,66.83,62.74,66.37,66.38,353.04,64.81,66.05,8.2331,7.9128
2.816,70.49,69.85,66.67,70.10,68.67,303.79,70.69,68.33,8.3273,8.0070
2.848,65.58,68.94,65.83,69.96,67.23,251.21,66.85,67.55,8.4278,8.1075
2.880,61.35,70.25,72.74,59.60,64.66,233.17,67.94,66.89,8.5220,8.2017
2.912,68.01,75.59,68.51,66.10,71.45,202.23,66.48,61.05,8.6162,8.2959
2.944,69.60,68.46,65.32,67.47,62.04,175.97,69.96,69.92,8.7104,8.3964
2.976,64.79,68.13,74.41,61.61,78.15,162.61,67.96,67.95,8.8108,8.4906
3.008,63.61,64.99,65.78,58.25,69.44,147.89,63.95,71.89,8.9050,8.5848
3.040,68.33,66.87,62.00,70.20,65.22,125.82,73.33,65.66,8.9992,8.6790
3.072,69.04,68.13,66.00,63.10,70.23,135.65,67.74,63.11,9.0997,8.7794
3.104,67.25,65.31,64.55,71.57,62.56,127.29,66.86,70.30,9.1939,8.8736
3.136,68.62,65.44,62.29,64.98,68.14,109.42,63.07,64.63,9.2881,8.9678
3.168,70.94,69.46,68.48,69.55,67.52,111.84,67.15,64.19,9.3823,9.0620
3.200,66.78,67.79,64.43,72.66,71.90,104.91,67.02,67.95,9.4828,9.1625
3.232,68.28,65.08,63.82,66.98,71.60,88.63,58.75,70.31,9.5770,9.2567
3.264,73.94,64.60,72.71,66.71,71.59,77.26,72.09,70.50,9.6712,9.3509
3.296,72.18,61.26,65.43,62.98,67.25,78.59,69.33,67.66,9.7654,9.4514
3.328,63.41,71.70,66.35,62.59,67.81,63.91,65.44,72.38,9.8659,9.5456
3.360,66.28,61.19,72.79,59.81,70.02,69.64,65.41,64.67,9.9601,9.6398
3.392,72.57,68.91,68.40,60.54,69.26,66.10,69.45,65.42,10.0543,9.7340
3.424,63.69,68.48,67.14,67.45,71.33,64.51,64.50,64.69,10.1548,9.8345
3.456,71.26,66.57,70.86,67.19,67.22,65.42,65.47,66.77,10.2490,9.9287
3.488,65.74,63.59,63.57,63.72,67.48,67.65,69.81,66.35,10.3432,10.0229
3.520,59.12,68.60,67.32,61.23,68.76,63.28,73.77,70.60,10.4374,10.1234
3.552,64.19,64.44,70.59,64.88,63.67,63.25,66.23,68.61,10.5378,10.2176
3.584,74.04,63.24,65.72,65.69,66.56,60.83,67.44,67.89,10.6320,10.3118
3.616,68.05,62.15,70.28,63.89,64.10,67.82,69.70,64.62,10.7262,10.4060
3.648,67.19,66.52,65.64,61.76,66.78,65.20,66.78,73.46,10.8204,10.5064
3.680,68.30,64.78,68.67,64.26,67.24,66.26,66.92,69.20,10.9209,10.6006
3.712,63.34,65.18,64.78,65.01,68.76,70.85,67.90,65.95,11.0151,10.6948
3.744,67.06,72.90,66.26,70.62,68.53,65.11,69.04,60.97,11.1093,10.7890
3.776,66.96,65.87,73.14,64.76,65.22,64.09,66.87,115.12,11.2098,10.8895
3.808,68.89,70.62,69.04,73.07,69.37,64.83,65.05,106.66,11.3040,10.9837
3.840,70.02,68.02,71.71,72.80,67.20,69.83,67.94,101.69,11.3982,11.0779
3.872,65.13,67.11,68.74,64.28,64.95,63.09,70.39,108.18,11.4924,11.1784
3.904,62.22,67.79,67.92,70.04,67.19,67.48,70.00,95.77,11.5929,11.2726
3.936,68.57,66.52,65.31,67.67,69.72,68.79,57.35,84.35,11.6871,11.3668
3.968,62.74,62.79,67.96,69.24,66.29,66.86,64.42,80.26,11.7813,11.4610
4.000,68.65,70.40,65.65,72.52,69.81,68.15,63.78,84.32,11.8818,11.5615
4.032,63.61,60.42,73.87,58.38,61.44,62.07,66.01,69.94,11.9760,11.6557
4.064,67.29,70.22,61.85,65.14,66.08,68.75,62.43,69.61,12.0702,11.7499
