tiempo,dist_front_raw,dist_filtered,dist_kalman,accion
0.032,1.50000,1.50000,1.50000,AVANZAR
0.064,1.48141,1.49535,1.48698,AVANZAR
0.096,1.35863,1.46723,1.40601,AVANZAR
0.128,1.29745,1.43127,1.33807,AVANZAR
0.160,1.14029,1.38622,1.21507,AVANZAR
0.192,1.11844,1.32169,1.15461,AVANZAR
0.224,1.05303,1.24043,1.09104,AVANZAR
0.256,0.96814,1.15473,1.01435,AVANZAR
0.288,0.91095,1.07639,0.94970,AVANZAR
0.320,0.88910,1.01650,0.91151,AVANZAR
0.352,0.76729,0.93952,0.82159,AVANZAR
0.384,0.69170,0.86209,0.74057,AVANZAR
0.416,0.63497,0.79460,0.67457,AVANZAR
0.448,0.57718,0.72581,0.61359,AVANZAR
0.480,0.51461,0.65241,0.55168,AVANZAR
0.512,0.41286,0.58272,0.46515,GIRAR_IZQ
0.544,0.39417,0.52619,0.42116,GIRAR_IZQ
0.576,0.37970,0.48382,0.39539,GIRAR_IZQ
0.608,0.34616,0.45740,0.36487,GIRAR_IZQ
0.640,0.36426,0.44455,0.36434,GIRAR_IZQ
0.672,0.28411,0.44606,0.31463,GIRAR_IZQ
0.704,0.24633,0.45078,0.27232,GIRAR_IZQ
0.736,0.22718,0.45189,0.24427,GIRAR_IZQ
0.768,0.21145,0.45729,0.22387,GIRAR_IZQ
0.800,0.22476,0.46477,0.22429,GIRAR_IZQ
0.832,0.22665,0.48469,0.22563,GIRAR_IZQ
0.864,0.20690,0.51897,0.21393,GIRAR_IZQ
0.896,0.18048,0.56974,0.19313,GIRAR_IZQ
0.928,0.16730,0.61462,0.17702,GIRAR_IZQ
0.960,0.15111,0.67179,0.16091,GIRAR_IZQ
0.992,0.14382,0.74066,0.15020,GIRAR_IZQ
1.024,0.13927,0.80338,0.14332,GIRAR_IZQ
1.056,0.13504,0.85562,0.13808,GIRAR_IZQ
1.088,0.13220,0.90486,0.13433,GIRAR_IZQ
1.120,0.12948,0.94017,0.13121,GIRAR_IZQ
1.152,0.12919,0.96261,0.12984,GIRAR_IZQ
1.184,0.12935,0.98447,0.12941,GIRAR_IZQ
1.216,0.13137,1.00538,0.13050,GIRAR_IZQ
1.248,0.13376,1.03037,0.13239,GIRAR_IZQ
1.280,0.13618,1.05947,0.13459,GIRAR_IZQ
1.312,0.14182,1.09743,0.13896,GIRAR_IZQ
1.344,0.14930,1.13853,0.14522,GIRAR_IZQ
1.376,0.15981,1.18379,0.15409,GIRAR_IZQ
1.408,0.17939,1.24883,0.16960,GIRAR_IZQ
1.440,0.20484,1.31819,0.19126,GIRAR_IZQ
1.472,0.25404,1.37869,0.22994,GIRAR_IZQ
1.504,0.33876,1.43108,0.29704,GIRAR_IZQ
1.536,0.39734,1.47416,0.35890,GIRAR_IZQ
1.568,0.48900,1.49349,0.43918,GIRAR_IZQ
1.600,0.55748,1.50000,0.51217,CORRIGIENDO_IZQ
1.632,0.56610,1.50000,0.54489,CORRIGIENDO_IZQ
1.664,0.58100,1.50000,0.56654,CORRIGIENDO_IZQ
1.696,0.59799,1.50000,0.58539,CORRIGIENDO_IZQ
1.728,0.61837,1.50000,0.60516,CORRIGIENDO_IZQ
1.760,0.65630,1.50000,0.63615,CORRIGIENDO_IZQ
1.792,0.67530,1.49331,0.65970,CORRIGIENDO_IZQ
1.824,0.67486,1.48499,0.66843,CORRIGIENDO_IZQ
1.856,0.72651,1.48131,0.70371,CORRIGIENDO_IZQ
1.888,0.73615,1.44414,0.72315,CORRIGIENDO_IZQ
1.920,0.80493,1.41407,0.77305,CORRIGIENDO_IZQ
